Beer,Brewery,Rating
Milk & Honey,Dirck The Norseman / Greenpoint Beer & Ale Co.,3.83
Bourbon Barrel Aged Dark Star: Coffee Edition,Fremont Brewing Company,4.21
Schlitz Gusto (Classic 1960's Formula),JOS. Schlitz Brewing Co. (Pabst),3.17
Hop Devil Ale,Victory Brewing Company,3.71
Kuhnhenn Raspberry Eisbock,Kuhnhenn Brewing Company,4.62
Allagash White,Allagash Brewing Company,4.25
7437,Elevation Beer Co.,4.19
Thumbprint Scream IIPA,New Glarus Brewing Company,4.38
Tangerine Wheat,Lost Coast Brewery and Cafe,3.24
Punch You In The EyePA,Fifty West Brewing Co,3.50
Cranky IPA,Stony Creek Brewery,3.68
French Toasted W-n-B Coffee Oatmeal Imperial Stout,Terrapin Beer Company,4.50
Samuel Adams Cherry Wheat,Boston Beer Company (Samuel Adams),3.00
Bumble Berry Honey Blueberry Ale,Fat Head's Brewery & Saloon,3.50
Tangier,Southern Tier Brewing Company,3.78
Boris The Spider,Spider Bite Beer Company,4.10
Ovila Belgian-Style Abbey Quad: Ale Brewed With Plums,Sierra Nevada Brewing Co.,3.87
Heavy Boots Of Lead,SingleCut Beersmiths,4.45
Éphémère (Cranberry),Unibroue,4.18
Abbey Strong Ale,Berkley Beer Company,4.72
Stonington,Trillium Brewing Company,4.12
Hakim Stout,Harar Beer Factory,3.00
Furious,Surly Brewing Company,4.35
Dayglow IPA,Elysian Brewing Company,4.33
Genealogy Of Morals (Bourbon Barrel Aged),Hill Farmstead Brewery,4.21
Summit Extra Pale Ale,Summit Brewing Company,3.75
Great,Alpine Beer Company,4.44
Kiwi,Lawson's Finest Liquids,4.67
Boon Oude Geuze,Brouwerij Boon,4.00
The Finisher (Four Roses Bourbon Barrel-Aged),Conquest Brewing Company,4.48
Summit Sága IPA,Summit Brewing Company,4.00
Samuel  Adams Downtime Pilsner,Boston Beer Company (Samuel Adams),3.46
Drie Fonteinen Oude Kriek,Brouwerij Drie Fonteinen,4.46
Fortuna,Avery Brewing Company,4.16
Extra Easy,Tennessee Brew Works,3.76
White Birch Raspberry Berliner Weisse,White Birch Brewing,4.16
Detour Double India Pale Ale,Uinta Brewing Company,4.00
