Beer,Brewery,Rating
Boont Barl Bourbon Barrel Amber Ale,Anderson Valley Brewing Company,2.44
Leipziger Gose,Gasthaus & Gosebrauerei Bayerischer Bahnhof,4.25
Uitmuntend & Voorbeeldig - Rhum BA,Brouwerij De Molen,4.20
Petrus Aged Red,De Brabandere,3.73
St. Bernardus Prior 8,Brouwerij St. Bernardus NV,4.56
Samichlaus Classic Bier,Brauerei Schloss Eggenberg,4.12
St. Bernardus Pater 6,Brouwerij St. Bernardus NV,4.22
Shipyard Summer Ale,Shipyard Brewing Co.,3.42
Samuel Adams Boston Lager,Boston Beer Company (Samuel Adams),4.25
Jardinier,The Bruery,3.82
Cyber Beer Bully Ale,Lengthwise Brewing Company,4.58
Ginger-Lemon Radler,Boulevard Brewing Co.,4.14
Vicaris Tripel,Brouwerij Dilewyns,4.18
Leinenkugel's Big Butt Doppelbock,Jacob Leinenkugel Brewing Company,3.13
Tree Shaker Imperial Peach IPA,Odell Brewing Company,4.10
Palmetto Amber,Palmetto Brewing Company,3.75
Redhook Audible Ale,Redhook Ale Brewery,2.95
Samuel Adams Rebel IPA,Boston Beer Company (Samuel Adams),2.30
St. Feuillien Grand Cru,Brasserie St. Feuillien,4.22
Mischief,The Bruery,3.74
Wild Sour Series: Here Gose Nothin',DESTIHL Brewery,1.40
Rocky Mountain IPA,The Fort Collins Brewery,4.00
Citra Sunshine Slacker,Evil Twin Brewing,3.70
Petite Sour - Tart Cherry,Crooked Stave Brewery & Taproom,4.07
Mocha Joe's Coffee House Porter,Howler Brewery,3.11
Imperial Biscotti Break Natale - Pretty Please With A Cherry On Top,Evil Twin Brewing,4.10
Jubilee VIII,AleWerks Brewing Company,4.20
OverPass,Coney Island Brewing Company,4.08
Petite Sour - Blueberry,Crooked Stave Brewery & Taproom,3.88
Lucky Buddha Enlightened Beer,The Lucky Drink Company,2.18
God Damn Pirate Pigeon Peanut Butter Porter,Spiteful Brewing,4.50
Limbo IPA,Long Trail Brewing Co.,4.25
Outcast,Crux Fermentation Project,4.15
Loakal Red,The Bruery,3.32
Toasted Coconut Porter,Orange Blossom Pilsner LLC,2.37
Beer Table - Table Beer,Crooked Stave Brewery & Taproom,3.75
Dark Hollow Artisanal Ale,Blue Mountain Brewery,3.69
Maven,Barley Mow Brewing Company,4.20
Lover's Greed,AleWerks Brewing Company,4.08
River Water IPA,The Front Brewing Company,3.75
St. Dekkera Reserve: Sour Quad,DESTIHL Brewery,3.67
Bitburger Premium Pils,Bitburger Brauerei,3.50
Eleven Amp IPA,No Label Brewing Company,3.95
Vidal Saison,Against The Grain Brewery & Smokehouse,4.21
Sir William's English Brown Ale,Grapevine Craft Brewery,3.25
Vine Shine IPA,Magnify Brewing,4.41
Lazy Spinner,Barley Mow Brewing Company,4.07
Flip Flop Pale Ale,Boston Beer Works - Canal Street,3.84
Virgins & Diamonds,Tired Hands Brewing Company,4.12
St. Dekkera Reserve: Zure Dubbele Stout,DESTIHL Brewery,4.21
Cru,Draai Laag Brewing Company / Saints & Turncoats Public House,3.81
Point The Way IPA,Golden Road Brewing,3.48
White Reaper White IPA,Evil Czech Brewery,3.89
Joe Daddy Imperial Coffee Stout,Pig Minds Brewing Co.,3.99
Island Reserve: Double India Pale Ale,Cisco Brewers Inc.,4.12
We Mint Well,Against The Grain Brewery & Smokehouse,4.00
Morgazm,DuClaw Brewing Company,3.25
Pop-Up Session I.P.A.,Boulevard Brewing Co.,3.52
Barrel Aged Java Stout,Saugatuck Brewing Company,4.10
River Runners Pale Ale,Eddyline Restaurant & Brewery,3.51
High Striker Single,Great Lakes Brewing Co.,4.25
Kickin' Back Amber Lager,Eddyline Restaurant & Brewery,3.27
Jolly Roger Black Lager,Eddyline Restaurant & Brewery,3.62
Mephistopheles' Stout,Avery Brewing Company,4.68
Crank Yanker IPA,Eddyline Restaurant & Brewery,3.23
Consecration,Russian River Brewing Company,5.00
Edwards Portly Brown,Witch's Hat Brewing Co.,4.04
Allagash Victoria Ale,Allagash Brewing Company,3.73
Erthe (Golden Herbal Ale),Propolis Brewing,3.66
Black Hole,Roman N.V.,3.32
Ninkasi,The Wild Beer Co.,3.83
Lakewood Molé Temptress,Lakewood Brewing Company,4.49
Bourbon Barrel 3 Pairs Of Legs,Dark Horse Brewing Company,4.37
The Piper IPA,Four Provinces Brewing Company,4.94
Road Jam Raspberry Wheat Ale,Two Roads Brewing Company,2.87
Amsterdam Boneshaker IPA,Amsterdam Brewing Company,3.36
Big Blonde Ale,Gritty McDuff's Brewing Company,3.54
Baker's Island Blond,Boston Beer Works - Canal Street,3.73
Hopworks IPA,Hopworks Urban Brewery,4.21
Eternal Sunshine,Al's of Hampden / Pizza Boy Brewing,4.00
Brahma,Companhia Cervejaria Brahma,2.62
Obscuritas Dark Sour,Driftwood Brewery,3.89
Saranac Disruption Nitro Brown Ale,Matt Brewing Company / Saranac Brewery,4.01
Ground Pounder,Service Brewing Company,4.93
Cascade Blueberry Ale,Cascade Brewing / Raccoon Lodge & Brewpub,4.13
Parade Pilsner,Gritty McDuff's Brewing Company,3.29
Space Station: Middle Finger,3 Floyds Brewing Co.,4.16
Dark Seas Bourbon Barrel Aged,Mission Brewery,3.81
Sapporo Original Draft Beer,Sapporo Breweries Ltd.,3.14
Singularity,Driftwood Brewery,3.84
St. Bernardus Extra 4,Brouwerij St. Bernardus NV,4.00
Dubious Affair,The Rare Barrel,4.28
Big Ugly,Blue Point Brewing Company,3.67
Far East Golden Ale,Boston Beer Works - Canal Street,3.95
Imperial Blackberry Bu Weisse,de Garde Brewing,4.73
Forces Unseen (Blend 3),The Rare Barrel,4.39
Wulver,Thirsty Dog Brewing Company,4.49
Mill Street Stargazer Summer Ale,Mill Street Brew Pub,3.97
Buxton / Omnipollo Pomperipossa,Buxton Brewery,3.77
Double Jungle Boogie,Marz Community Brewing,4.74
Monkey Boy,East End Brewing Company,3.75
Williams Ceilidh (Premium Scottish Lager),Williams Brothers Brewing Company,4.11
Daydreamer,Ithaca Beer Company,3.74
Amager / Cigar City Xiquic And The Hero Twins,Amager Bryghus,3.82
Over The Hop,Paradise Creek Brewery,3.77
French Ridge IPA,Millersburg Brewing Company,3.01
Dual Artisanship,Perennial Artisan Ales,3.81
La Tormenta,Breakside Brewery,3.94
Second Salem,Second Salem Brewing Company,3.83
Dragon's Milk Bourbon Barrel Stout,New Holland Brewing Company,4.36
Wild Feijoa Sour Ale 2013,8 Wired Brewing Co.,3.75
Bitter Woman India Pale Ale,Tyranena Brewing Company,3.79
Bender,Surly Brewing Company,4.00
Amra Mango IPA,DESTIHL Brewery,3.37
Smuttlabs Blueberry Short Weisse,Smuttynose Brewing Company,3.65
Glimmerglass,Brewery Ommegang,4.58
Tartare,Bear Republic Brewing Co.,4.80
Köstritzer Schwarzbier,Köstritzer Schwarzbierbrauerei GmbH & Co.,4.13
Hop'solutely,Allentown Brew Works,3.13
Downtime Pilsner,Boston Beer Company (Samuel Adams),3.05
Dankosaurus,Cedar Creek Brewery,4.06
On-Belay IPA,Lander Brewing Company,4.43
Imperial IPA With Crushed Red Pepper,Green Flash Brewing Co.,3.80
Smuttwater 1.0,Smuttynose Brewing Company,4.00
Sea Monster Imperial Stout,Ballast Point Brewing Company,4.00
Mastodon,Rhinegeist Brewery,3.74
Alibi,Circle Brewing Company,3.07
Jopen Johannieter,Jopen Bier BV Haarlem,3.90
Malefactor (Gilgamesh),Upland Brewing Company,4.19
Montanya,Elevation Beer Co.,4.93
Bucolia,Bissell Brothers Brewing Co.,4.03
Wünderbier Kölsch-Style Ale,Ninkasi Brewing Company,2.81
Imperial Blu Bu,de Garde Brewing,4.67
Redhook ESB,Redhook Ale Brewery,3.50
400 Pound Monkey,Left Hand Brewing Company,4.70
The Martians Kidnap Santa! (Egg Nog Stout),Spring House Brewing Company,3.43
Moa Imperial Stout (Aged In Pinot Noir Barrels),Moa Brewing Company,3.74
2015 HORAL Oude Gueuze Megablend,Brouwerij Boon,4.25
Feral One Batch 2,Firestone Walker Brewing Co.,4.35
Tart Of Darkness With Cherries & Vanilla,The Bruery,4.31
Serum,DuClaw Brewing Company,3.17
Brandy Barrel Honey Ale,Goodwood Brewing Co.,3.66
Gradient (Blackberry),Grimm Artisanal Ales,3.20
Sour In The Rye,The Bruery,4.23
Super Dog,Lucky Labrador Brewing Company,3.84
Reeb Rye'd,Oskar Blues Grill & Brew,3.51
Gonzo Clencher,BuckleDown Brewing,4.30
Seasonal Creep,Cigar City Brewing,3.95
Bell's Traverse City Whiskey Barrel Aged Porter,"Bell's Brewery, Inc.",4.21
Sock Knocker,Coronado Brewing Company,3.81
Keeper,Mikkeller ApS,3.75
Allagash One T,Allagash Brewing Company,4.00
Double Dry Hopped Pain - Prediction?...Pain!,Imperial Oak Brewing,4.46
Another World,The Rare Barrel,4.42
Dave's Grapefruit Pale Ale,Imperial Oak Brewing,4.31
Vicious Mosquito IPA,Sunriver Brewing Company,4.42
Sweetwater Blue,SweetWater Brewing Company,3.83
Imperial Red,Strike Brewing Co.,4.01
S.U.P Summer Ale,Sunriver Brewing Company,4.32
Blonde Ale Dry Hopped,Great Crescent Brewery,3.56
Great Cresent IPA,Great Crescent Brewery,3.21
Fuzztail Hefeweizen,Sunriver Brewing Company,2.82
Grassroots / Amager Shadow Pictures Of A Journey,Grassroots Brewing,4.25
Summer's Wit,Buffalo Bayou Brewing Co,3.68
The Delicatessen,Pipeworks Brewing Company,3.75
Rêve D'étoiles,Brasserie Bendorf,4.06
Head High,Kane Brewing Company,4.18
Sloppy In Turn #3 Summer Ale,TwoDEEP Brewing Co.,4.00
Keen Observation (Echo Series),The Rare Barrel,4.40
Ceske Ezek,Varnitsa (Варница),2.40
Allagash Speciale Blonde Ale,Allagash Brewing Company,3.60
Barkhatnoye,Varnitsa (Варница),2.74
Hops N' Roses,Captain Lawrence Brewing Co.,4.31
Saint Dekkera Poire,DESTIHL Brewery,3.61
Nemetskoye Nefiltrovannoye,Varnitsa (Варница),3.05
Rompo Red Rye Ale,Jackalope Brewing Company,3.75
Saison Dolores,Almanac Beer Co.,3.78
Jai Alai IPA,Cigar City Brewing,4.50
Onda Mosaic Pale Ale,Omnipollo,4.21
Sinkhole Stout,Country Boy Brewing,4.35
Overcast Espresso Stout,Oakshire Brewing,3.92
Citrafest,450 North Brewing Company,3.75
Still Upside Down,Ocelot Brewing Company,3.39
Shotgun Wedding,Country Boy Brewing,3.75
Mother Of All Storms,Pelican Pub & Brewery,4.68
Thumbprint Spiced Ale,New Glarus Brewing Company,3.27
Schlafly Collaboration Gruit Ale,Country Boy Brewing,3.21
South Side Citra Blonde,Confluence Brewing Company,4.92
Sui Generis,Avery Brewing Company,3.50
Infinite Sadness,Country Boy Brewing,3.92
Marshal Zhukov's Imperial Stout,Cigar City Brewing,3.44
Half Way Home,Country Boy Brewing,3.69
Vanilla Nut Brown,Ole Shed Brewing Company,4.50
Country Jacket,Country Boy Brewing,3.99
Imperial Peach Bu,de Garde Brewing,4.54
Bourbon Barrel Rx Strength,Country Boy Brewing,3.96
Happy Camper IPA,Santa Fe Brewing Company,3.50
Alpha Experiment IPA: Ella,Country Boy Brewing,3.94
Rubus Rojo,Jackie O's Pub & Brewery,4.11
Garden State Rhapsody,Clown Shoes,4.11
Vanilla Joe,Sante Adairius Rustic Ales,4.29
SaisonHands,Tired Hands Brewing Company,3.93
Bourbon Barrel Aged Dark Lord Imperial Stout,3 Floyds Brewing Co.,5.00
Child Labor,Burley Oak Brewery,4.09
West Sixth / Country Boy Country Western (Volume 3 Imperial Red Ale),West Sixth Brewing Company,4.10
Turn Around Bright Eyes,Atlas Brewing Company,4.34
Trickery,Hardywood Park Craft Brewery,4.29
Victory Nor Defeat,The Able Ebenezer Brewing Company,4.02
Habit,Bearded Iris Brewing,4.50
Easy Jack Summer Session IPA,Firestone Walker Brewing Co.,3.93
Simple Equinox,Sante Adairius Rustic Ales,3.61
The Sixth Glass,Boulevard Brewing Co.,4.50
Silver Lies,Sante Adairius Rustic Ales,4.23
Drie Fonteinen Hommage,Brouwerij Drie Fonteinen,4.28
Motif Reserva,Crooked Stave Brewery & Taproom,4.15
