Beer name,Brewery,Rating
Oak Theory,Casey Brewing & Blending,4.6
Le Roar Grrrz Kriek,Bullfrog Brewery,4.25
Advanced Oak Theory,Casey Brewing & Blending,4.02
Le Roar Grrrz Apricot,Bullfrog Brewery,4.46
Heineken Lager Beer,Heineken Nederland B.V.,2.63
The Abyss,Deschutes Brewery,3.99
Dry Hopped Oak Theory - Galaxy And Simcoe,Casey Brewing & Blending,4.6
Yellow Umbrella,Goose Island Beer Co.,2.84
Fruit Stand - Black Amber/Italian Plum,Casey Brewing & Blending,4.21
Mexican Brunch,Kane Brewing Company,4.74
The Cut: Blackberry,Casey Brewing & Blending,4.43
Bantam,Prohibition Pig,4
Nutulhu,Goose Island Beer Co.,4.56
Budweiser,Anheuser-Busch,3.58
The Cut: Balaton Cherry,Casey Brewing & Blending,4.8
Late Harvest (Sole Comp),Upright Brewing Company,4.25
Cigar City / Cycle / 7venth Sun/ J Wakefield A Beer Named Sue,Cigar City Brewing,4
Oak Theory,Casey Brewing & Blending,4.43
Bourbon County Brand Barleywine Ale,Goose Island Beer Co.,4.54
Guillemot Nebula,Tired Hands Brewing Company,3.88
Birra Peroni,Birra Peroni Industriale S.p.A.,3.13
Fruit Stand - Peach,Casey Brewing & Blending,4.25
Another One,Maine Beer Company,4.44
La Folie Falling Rock's 10th Anniversary,New Belgium Brewing,4.46
Tuesday,Peg's Cantina & Brew Pub,4.23
Bourbon Barrel Porter,AleWerks Brewing Company,4.37
Censored,Lagunitas Brewing Company,3.9
Monday,Peg's Cantina & Brew Pub,4
Avery India Pale Ale (IPA),Avery Brewing Company,3.94
Ecliptic / Wicked Weed / Stone Points Unknown IPA,Stone Brewing Co.,4.19
Otto's Jacket,Cellarmaker Brewing Co.,4.21
Typo Pills,Cellarmaker Brewing Co.,4
Primator Dark Lager,Pivovar Náchod a.s.,3.6
Raison D'Extra,Dogfish Head Brewery,4.21
Sump Coffee Stout,Perennial Artisan Ales,4.74
Upland Brewing / Jolly Pumpkin Permission Slip,Upland Brewing Company,4.05
Siren,Barrier Brewing Company,3.56
Kinroo Blue Belgium Wit,Brouwerij Martens NV,3.51
Two Hearted Ale,"Bell's Brewery, Inc.",4.16
Molotov Lite,Evil Twin Brewing,3.76
Terrapin Mosaic Red Rye IPA,Terrapin Beer Company,3.75
Boon Oude Geuze Mariage Parfait,Brouwerij Boon,4.54
Jai Alai IPA - White Oak,Cigar City Brewing,4.17
Hop Gun,Funky Buddha Brewery,3.77
Buckwheat Blossom Honey,Whitehorse Brewing LLC,3.41
Terrapin Hopsecutioner,Terrapin Beer Company,3.52
Trappistes Rochefort 10,Brasserie de Rochefort,4.89
Half Hitch,Crux Fermentation Project,4.47
Ola Dubh Special Reserve 12,Harviestoun Brewery Ltd.,4
CBC Blanc Saison,Victory Brewing Company,4.31
Sinister Kid,Trillium Brewing Company,3.7
Lord Barlow - Fut De Cabernet Californien,Le Trou Du Diable,3.47
Belgian Dubbel,Brix City Brewing,4.61
Postel Tripel,Brouwerij De Smedt / Brouwerij Affligem,4.19
Gloria Belgian Blonde Ale,Brix City Brewing,5
Highland Black Mocha Stout,Highland Brewing,3.23
Brews Willis IPA,Brix City Brewing,5
Wood + Sour: Noir,Pagosa Brewing Co.,4.02
Founders Pale Ale,Founders Brewing Company,3.71
KTK,Brix City Brewing,4.94
La Bière Du Pêcheur,Brasserie Dieu Du Ciel,4.03
Founders Blushing Monk,Founders Brewing Company,5
